iter	Passed	Remaining
355	28663	8022940
356	28748	8023936
357	28821	8021750
358	28910	8024252
359	28997	8025825
360	29070	8023746
361	29152	8023973
362	29234	8024386
363	29330	8028490
364	29423	8031680
365	29502	8031355
366	29583	8031180
367	29659	8029961
368	29742	8030593
369	29820	8029761
370	29893	8027737
371	29980	8029283
372	30068	8031284
373	30139	8028429
374	30221	8028727
375	30297	8027417
376	30394	8031873
377	30476	8032068
378	30550	8030374
379	30630	8030108
380	30705	8028540
381	30775	8025675
382	30849	8023865
383	30938	8026021
384	31018	8025805
385	31101	8026273
386	31180	8025813
387	31266	8027070
388	31348	8027375
389	31427	8026871
390	31509	8027085
391	31591	8027370
392	31679	8029318
393	31759	8028929
394	31838	8028619
395	31920	8028728
396	32002	8028995
397	32069	8025615
398	32141	8023251
399	32227	8024709
400	32306	8024178
401	32404	8028514
402	32480	8027192
403	32554	8025495
404	32633	8025030
405	32718	8025914
406	32799	8025935
407	32879	8025751
408	32956	8024931
409	33035	8024304
410	33114	8023916
411	33196	8024254
412	33273	8023315
413	33348	8021953
414	33425	8020999
415	33504	8020570
416	33576	8018391
417	33652	8017176
418	33725	8015388
419	33806	8015337
420	33879	8013408
421	33977	8017505
422	34051	8015919
423	34130	8015624
424	34211	8015626
425	34296	8016628
426	34382	8017647
427	34452	8015198
428	34549	8018994
429	34620	8016768
430	34721	8021323
431	34820	8025367
432	34897	8024458
433	34974	8023735
434	35058	8024393
435	35132	8022770
436	35213	8022689
437	35305	8025253
438	35390	8026334
439	35472	8026556
440	35552	8026225
441	35627	8024977
442	35702	8023526
443	35782	8023254
444	35868	8024416
445	35943	8023080
446	36019	8021960
447	36094	8020788
448	36170	8019658
449	36251	8019746
450	36327	8018492
451	36405	8017957
452	36498	8020630
453	36575	8019640
454	36667	8022130
455	36748	8022100
456	36820	8020256
457	36903	8020700
458	36986	8021080
459	37062	8020100
460	37163	8024246
461	37244	8024307
462	37337	8026980
463	37429	8029276
464	37505	8028251
465	37590	8028982
466	37675	8029926
467	37757	8030175
468	37848	8032126
469	37920	8030196
470	38003	8030674
471	38085	8030906
472	38159	8029397
473	38238	8028958
474	38331	8031512
475	38417	8032509
476	38509	8034685
477	38583	8033234
478	38668	8033992
479	38748	8033762
480	38829	8033910
481	38906	8033057
482	38986	8032818
483	39059	8031186
484	39130	8028933
485	39209	8028532
486	39288	8028218
487	39357	8025738
488	39435	8025125
489	39520	8025976
490	39592	8024015
491	39677	8024892
492	39747	8022540
493	39820	8021044
494	39901	8021044
495	39988	8022157
496	40059	8020168
497	40143	8020734
498	40231	8022105
499	40302	8020242
500	40399	8023278
501	40496	8026451
502	40577	8026499
503	40652	8025252
504	40736	8025961
505	40814	8025300
506	40918	8029847
507	40994	8028707
508	41073	8028355
509	41174	8032236
510	41256	8032417
511	41329	8030781
512	41408	8030343
513	41483	8029318
514	41558	8028144
515	41631	8026517
516	41704	8024876
517	41774	8022763
518	41861	8023916
519	41937	8022957
520	42015	8022391
521	42098	8022829
522	42184	8023665
523	42263	8023210
524	42348	8024116
525	42427	8023702
526	42540	8029582
527	42613	8028093
528	42691	8027601
529	42766	8026438
530	42838	8024726
531	42922	8025152
532	42999	8024449
533	43080	8024475
534	43176	8027170
535	43252	8026270
536	43327	8025094
537	43400	8023670
538	43481	8023581
539	43558	8022882
540	43630	8021235
541	43709	8020708
542	43788	8020419
543	43874	8021273
544	43943	8019172
545	44021	8018507
546	44099	8018008
547	44175	8017013
