iter	MultiClass
0	1.372741423
1	1.358237823
2	1.34232619
3	1.326537606
4	1.313408401
5	1.302109514
6	1.289737374
7	1.276711347
8	1.262708492
9	1.251751941
10	1.242010124
11	1.230635304
12	1.221126834
13	1.212280633
14	1.201839908
15	1.19314547
16	1.185186189
17	1.176597727
18	1.168867699
19	1.160373041
20	1.152469026
21	1.143348483
22	1.134738097
23	1.128049418
24	1.121060964
25	1.114142243
26	1.107462526
27	1.099567522
28	1.092024749
29	1.085795216
30	1.077917882
31	1.070918192
32	1.064335263
33	1.059168613
34	1.053710179
35	1.048004523
36	1.041990748
37	1.036032691
38	1.030024567
39	1.024815436
40	1.018886216
41	1.012812177
42	1.008979783
43	1.003989705
44	0.9995378605
45	0.9944114752
46	0.9899675946
47	0.9848071159
48	0.9794905955
49	0.9759178038
50	0.9712913021
51	0.9669393174
52	0.9622588265
53	0.9586613165
54	0.9533611596
55	0.9494270292
56	0.9451621417
57	0.9408473313
58	0.936808062
59	0.933500283
60	0.92929045
61	0.925891034
62	0.9218594673
63	0.919680185
64	0.9152451489
65	0.911364608
66	0.9086399928
67	0.9055595966
68	0.9022861467
69	0.898367085
70	0.8951941001
71	0.8912646587
72	0.8890005962
73	0.886318185
74	0.8836824504
75	0.8806603387
76	0.877375891
77	0.8749847958
78	0.871839217
79	0.8695141093
80	0.8661876162
81	0.8633400894
82	0.8604934971
83	0.8572336352
84	0.8546613486
85	0.8519760304
86	0.8495088462
87	0.8475911631
88	0.8449606614
89	0.8430504865
90	0.8402942162
91	0.8380710295
92	0.8355077957
93	0.8327354242
94	0.8313753799
95	0.8287257374
96	0.8260970074
97	0.8240824615
98	0.8213243057
99	0.818786512
100	0.8168060602
101	0.8146557017
102	0.8125289223
103	0.8102886346
104	0.8080157545
105	0.8057493244
106	0.8033905199
107	0.8006787117
108	0.7985891512
109	0.7970206512
110	0.7951577331
111	0.7934731177
112	0.7914810263
113	0.7891769145
114	0.7874574792
115	0.7856077969
116	0.7838125117
117	0.7818510191
118	0.7800577534
119	0.778409769
120	0.7765292182
121	0.7743592781
122	0.7718633119
123	0.7704597539
124	0.7686601225
125	0.7672515179
126	0.7657772821
127	0.7643576037
128	0.76264781
129	0.7607689985
130	0.7592348988
131	0.7572638535
132	0.7553513455
133	0.753929627
134	0.7528063496
135	0.7517773369
136	0.7504552072
137	0.7492473012
138	0.7477534948
139	0.7462423035
140	0.7445379949
141	0.7432524205
142	0.7414221456
143	0.7400091081
144	0.7386245006
145	0.7375931787
146	0.7361973699
147	0.7345154076
148	0.7325826655
149	0.7320341175
150	0.7310873151
151	0.7296652103
152	0.7281060358
153	0.7266601207
154	0.7252385492
155	0.7239955738
156	0.7228343876
157	0.7217807204
158	0.7209433742
159	0.7198939409
160	0.7186524921
161	0.7176964548
162	0.7166453264
163	0.7154423128
164	0.7138841019
165	0.7125195995
166	0.71128203
167	0.7099052248
168	0.7088811864
169	0.7075024728
170	0.7063216922
171	0.7051010887
172	0.7043185968
173	0.7028136529
174	0.7016010119
175	0.7004986048
176	0.6996563086
177	0.6984325329
178	0.6974736974
179	0.6961552544
180	0.694807623
181	0.6937057488
182	0.6924500932
183	0.6915464139
184	0.690776071
185	0.6896678141
186	0.6886230313
187	0.6877569368
188	0.6868403339
189	0.685852329
190	0.6850576613
191	0.6837620026
192	0.6824396505
193	0.6814129483
194	0.6802501678
195	0.6797764838
196	0.6788573716
197	0.6779214063
198	0.6770291058
199	0.6757097175
200	0.6747813769
201	0.6740876051
202	0.6730944155
203	0.6725327213
204	0.6715204687
205	0.6700982626
206	0.6691755847
207	0.6681092147
208	0.667077003
209	0.6659427086
210	0.6649161722
211	0.6637495754
212	0.6627913758
213	0.6624067309
214	0.6615390089
215	0.6608050597
216	0.6601478405
217	0.659369574
218	0.6585405447
219	0.6575501515
220	0.6565133725
221	0.6557386471
222	0.6547137578
223	0.6541406681
224	0.6530440737
225	0.6519376674
226	0.6509119642
227	0.6499876567
228	0.6490456075
229	0.6487408784
230	0.6480246517
231	0.6474876037
232	0.6466033153
233	0.645910404
234	0.6448060298
235	0.6440765081
236	0.6432344571
237	0.6426297997
238	0.6417252303
239	0.6409615296
240	0.6400453371
241	0.6394442325
242	0.6387736935
243	0.6382319544
244	0.6374276402
245	0.6367482106
246	0.6362269307
247	0.6355451147
248	0.6348034754
249	0.6341648036
250	0.6337070417
251	0.6328512234
252	0.6320301408
253	0.6314132899
254	0.6307798715
255	0.629945932
256	0.6290186089
257	0.6281837819
258	0.6276872444
259	0.6270061772
260	0.626097879
261	0.6256634544
262	0.6247317408
263	0.6240568761
264	0.6235886136
265	0.6228711321
266	0.6220336656
267	0.6210221104
268	0.6202033647
269	0.6196210562
270	0.6190804607
271	0.618626159
272	0.6181362839
273	0.6174396071
274	0.6170532359
275	0.6164153496
276	0.6160181414
277	0.615557643
278	0.614911716
279	0.6144037248
280	0.6138665995
281	0.6132654178
282	0.6128873486
283	0.6121179838
284	0.611434964
285	0.6107066126
286	0.6102833743
287	0.6098954744
288	0.6092397422
289	0.6088274347
290	0.6083837587
291	0.6077517891
292	0.6070817842
293	0.6067638449
294	0.6064682273
295	0.6056256359
296	0.6046980636
297	0.6043616476
298	0.6036655048
299	0.6031156837
300	0.6025155864
301	0.6021282074
302	0.6014896483
303	0.6008550564
304	0.6003216088
305	0.5996725782
306	0.5990162362
307	0.5986488684
308	0.5980735833
309	0.5976572316
310	0.5971372027
311	0.5963727878
312	0.5959163028
313	0.5953778775
314	0.5948943742
315	0.5941376221
316	0.5936566712
317	0.5931341539
318	0.5926459463
319	0.5919692991
320	0.5914389762
321	0.5908088668
322	0.5902018759
323	0.5896542068
324	0.589313974
325	0.5889805073
326	0.5886669453
327	0.5880618883
328	0.5874420396
329	0.5868612522
330	0.5861299683
331	0.5857129121
332	0.5853182831
333	0.5845932129
334	0.5838984399
335	0.5836185866
336	0.5830548603
337	0.5825708181
338	0.5821024533
339	0.5818228081
340	0.5814597789
341	0.5812580751
342	0.5809764123
343	0.5803305888
344	0.5800257555
345	0.5795281827
346	0.5790086141
347	0.5784576066
348	0.5778167018
349	0.5770666522
350	0.5767394768
351	0.576406338
352	0.5759579034
353	0.5755816825
354	0.5748680701
355	0.5743021905
356	0.5737040655
357	0.5734372922
358	0.5731535803
359	0.5726105176
360	0.5720255883
361	0.5715368348
362	0.5709038245
363	0.5701961208
364	0.5697854723
365	0.5695364785
366	0.5691565679
367	0.5687734958
368	0.5683803578
369	0.5677992606
370	0.5672024954
371	0.5668456594
372	0.5661401561
373	0.5655093979
374	0.5649242162
375	0.5641764733
376	0.56363418
377	0.5630946694
378	0.5626756674
379	0.5621561418
380	0.5615223156
381	0.5610614541
382	0.5605042185
383	0.5600159264
384	0.5596542406
385	0.5591471469
386	0.5587679656
387	0.5582265227
388	0.557746814
389	0.5573521403
390	0.5567878782
391	0.5563016735
392	0.5557972977
393	0.5554517965
394	0.5547108859
395	0.5544145756
396	0.5540013742
397	0.553809796
398	0.5535523971
399	0.5531203131
400	0.5524995118
401	0.552279287
402	0.5518780816
403	0.551305035
404	0.5507190795
405	0.5503692682
406	0.549662806
407	0.5490996684
408	0.5484297742
409	0.5481512437
410	0.5475367263
411	0.5469628807
412	0.5466251895
413	0.5461213497
414	0.54554081
415	0.5449258141
416	0.5447009229
417	0.5442030767
418	0.5438416089
419	0.5434829553
420	0.5428860392
421	0.5423646782
422	0.5420252967
423	0.5416933249
424	0.5413160092
425	0.5408811418
426	0.5405218432
427	0.5402647988
428	0.5396557563
429	0.5392191904
430	0.5387578152
431	0.5384695591
432	0.5379798793
433	0.5372160958
434	0.5366170064
435	0.5362946215
436	0.5356615845
437	0.5352042953
438	0.5349178133
439	0.5345943762
440	0.5342724997
441	0.5339167298
442	0.5335686525
443	0.5329903962
444	0.5324439037
445	0.5319001608
446	0.5316732811
447	0.5314307366
448	0.5310126803
449	0.530575228
450	0.5301740135
451	0.5295825272
452	0.5292758982
453	0.5290190247
454	0.5286258665
455	0.5282400369
456	0.528048786
457	0.5277374065
458	0.527343267
459	0.5269685377
460	0.5264019156
461	0.525694115
462	0.5252097279
463	0.5249031365
464	0.5244700829
465	0.523827646
466	0.52328217
467	0.5227526187
468	0.5222665447
469	0.5218684888
470	0.5215188859
471	0.521129405
472	0.5205545114
473	0.5201226648
474	0.5197307429
475	0.5191820959
476	0.5184892669
477	0.5182526252
478	0.5177183592
479	0.517269762
480	0.5170067928
481	0.5164060676
482	0.5160305793
483	0.5156693704
484	0.5151389211
485	0.5148028371
486	0.5143137633
487	0.5139756855
488	0.5137652086
489	0.5131884972
490	0.5129556522
491	0.5126952482
492	0.5122207327
493	0.5117081939
494	0.511318122
495	0.510899549
496	0.5104832883
497	0.5100135808
498	0.5097841763
499	0.5094858255
500	0.5089626884
501	0.5086594929
502	0.5079429927
503	0.5076189527
504	0.5073901119
505	0.506949052
506	0.5064109338
507	0.5059076798
508	0.5053598123
509	0.5048587652
510	0.5044696729
511	0.5042374433
512	0.5036176906
513	0.5031947852
514	0.5028236029
515	0.5025093374
516	0.5021897093
517	0.5019285905
518	0.5012809978
519	0.5009064263
520	0.5007033892
521	0.5003739375
522	0.499967333
523	0.4994038863
524	0.4991369951
525	0.4988006041
526	0.4984643126
527	0.498101509
528	0.4976029145
529	0.4973514843
530	0.496947487
531	0.4962720231
532	0.4960025158
533	0.4955434091
534	0.495179053
535	0.4946612242
536	0.4943191633
537	0.4940171463
538	0.4934864509
539	0.4930375534
540	0.492663821
541	0.4922617063
542	0.4919775134
543	0.4916762636
544	0.4912740706
545	0.4906875424
546	0.4902661492
547	0.4898662802
548	0.4895023181
549	0.4892326729
550	0.4888581723
551	0.4884716325
552	0.4882239321
553	0.487944175
554	0.4876588234
555	0.4871487413
556	0.4867183356
557	0.4865123996
558	0.4861664806
559	0.4858869968
560	0.4855561686
561	0.4850296695
562	0.4846402241
563	0.4842113994
564	0.4837994029
565	0.4834586113
566	0.4832624644
567	0.4830268296
568	0.4826239673
569	0.4823828345
570	0.4819840312
571	0.4813875162
572	0.4809786863
573	0.4806074084
574	0.4801396087
575	0.4796831657
576	0.4791918161
577	0.4789591099
578	0.4785257557
579	0.4782386622
580	0.4778485829
581	0.4775060297
582	0.4771197998
583	0.4767904811
584	0.4763958074
585	0.4762175891
586	0.4757957759
587	0.4752316967
588	0.4749610884
589	0.4746157473
590	0.4743068157
591	0.4739942565
592	0.4736287653
593	0.4732498547
594	0.4728865977
595	0.4725762
596	0.4721948086
597	0.4718072138
598	0.4714437919
599	0.4708807257
600	0.4706751163
601	0.4703025749
602	0.4699509739
603	0.4697822246
604	0.4694717314
605	0.4692279069
606	0.4689790033
607	0.4687361038
608	0.4683983582
609	0.4680906325
610	0.467695159
611	0.4672600534
612	0.4668124056
613	0.4664447084
614	0.4659011464
615	0.4654428045
616	0.4650027442
617	0.4645707322
618	0.4640610963
619	0.4637915319
620	0.4632320169
621	0.4627956774
622	0.4625975516
623	0.4623125187
624	0.4620349706
625	0.4617712918
626	0.4611661063
627	0.4608806215
628	0.4605151148
629	0.4601634343
630	0.4597920434
631	0.4593217526
632	0.4587209951
633	0.4584082227
634	0.4581027869
635	0.4575827068
636	0.4572798369
637	0.4569317586
638	0.4567103056
639	0.4564002334
640	0.4561396844
641	0.4557278545
642	0.4554943087
643	0.4551010593
644	0.4548076538
645	0.4544973481
646	0.4543071021
647	0.4541279359
648	0.4537999999
649	0.4534381881
650	0.4530418195
651	0.45273372
652	0.4525999984
653	0.4523411119
654	0.4521416754
655	0.4517553134
656	0.451486314
657	0.4511457795
658	0.4508598751
659	0.4506705213
660	0.4503957241
661	0.4502334572
662	0.4499308051
663	0.4495751582
664	0.4492811644
665	0.4489760219
666	0.4486111469
667	0.4483651892
668	0.4481102947
669	0.4478311254
670	0.4474137868
671	0.4471740199
672	0.4468761398
673	0.4463416332
674	0.4458231432
675	0.445609363
676	0.4453612331
677	0.445135468
678	0.4447225762
679	0.4444585411
680	0.444214057
681	0.4438944073
682	0.4436797327
683	0.4434297342
684	0.4430929496
685	0.4428845763
686	0.4426194948
687	0.4423099955
688	0.4420199712
689	0.4416330727
690	0.4412904352
691	0.4411723955
692	0.4409838977
693	0.4406768532
694	0.4402627742
695	0.44001295
696	0.4396690852
697	0.4394249764
698	0.4391066059
699	0.4386866553
700	0.4383518943
701	0.4381054291
702	0.4378592936
703	0.4376852327
704	0.4373956625
705	0.4371276155
706	0.4367770348
707	0.4365509396
708	0.4363731657
709	0.4360197381
710	0.4356038263
711	0.4353591981
712	0.4351759795
713	0.4348059176
714	0.4345646781
715	0.4343606409
716	0.4341098301
717	0.4338497757
718	0.4335778935
719	0.4332257171
720	0.4327716503
721	0.4325358796
722	0.4320637394
723	0.4317672569
724	0.4314108219
725	0.4311016988
726	0.4307872732
727	0.4305083637
728	0.4302297023
729	0.4299869172
730	0.4295749413
731	0.4293516038
732	0.4291823291
733	0.4289198565
734	0.4287216223
735	0.4284679169
736	0.4281053553
737	0.4278825275
738	0.4276495616
739	0.4273920356
740	0.4269139541
741	0.4264315116
742	0.4262324666
743	0.4260121706
744	0.4257147264
745	0.4255439632
746	0.4252392431
747	0.4250134416
748	0.4247928431
749	0.4246413096
750	0.4242923117
751	0.4241697062
752	0.4237831462
753	0.4234733326
754	0.4233382931
755	0.4231172334
756	0.4228930656
757	0.4225834844
758	0.4223053481
759	0.422166456
760	0.4217331322
761	0.4215137947
762	0.4212532677
763	0.4210143078
764	0.4208167137
765	0.4206609968
766	0.4204406094
767	0.4202767039
768	0.4200184942
769	0.4198787125
770	0.4196766153
771	0.419376814
772	0.4191156486
773	0.4188558478
774	0.4185601751
775	0.4184161205
776	0.4181531559
777	0.4179466943
778	0.4178111438
779	0.4176627193
780	0.4172946841
781	0.4169625603
782	0.4166739049
783	0.4165487221
784	0.4162754165
785	0.4161212774
786	0.4160175395
787	0.415770285
788	0.4154079211
789	0.4151718703
790	0.4150072502
791	0.4148431492
792	0.4146122729
793	0.4143641623
794	0.414018807
795	0.4138020544
796	0.4136236306
797	0.4133996704
798	0.413049106
799	0.4129210005
800	0.4127161746
801	0.4125517682
802	0.4122909041
803	0.4121064627
804	0.4119144062
805	0.4116706475
806	0.4114445617
807	0.4112668993
808	0.4110295589
809	0.410785038
810	0.4106194067
811	0.4103611487
812	0.4101118354
813	0.40976511
814	0.4094129532
815	0.4093122078
816	0.4091257623
817	0.4088764126
818	0.4086677153
819	0.4084895484
820	0.4081157201
821	0.4079107357
822	0.4076800177
823	0.4075032346
824	0.4072987524
825	0.4071245442
826	0.4068816462
827	0.4066387129
828	0.4064278293
829	0.406308899
