|                  object|        ra|      dec|
|                    char|    double|   double|
|                        |          |         |
|                    null|      null|     null|
 SDSS J130145.86+604511.7 195.441165  60.75324 
 SDSS J132221.70+590546.6 200.590425  59.09629 
 SDSS J131420.95+582342.7 198.587295  58.39523 
 SDSS J131034.83+580907.8 197.645085  58.15215 
 SDSS J131150.19+584530.3  197.95917  58.75843 
 SDSS J130938.47+591512.3  197.41032  59.25343 
 SDSS J130618.07+582138.8 196.575285  58.36077 
 SDSS J130607.14+591302.4 196.529775  59.21736 
 SDSS J130431.11+603737.8 196.129605  60.62717 
 SDSS J130649.50+601439.8 196.706265  60.24441 
 SDSS J130909.29+601531.8   197.2887  60.25887 
 SDSS J130747.48+600800.8  196.94784  60.13356 
 SDSS J130751.41+603032.3 196.964235  60.50902 
 SDSS J130835.13+593137.1  197.14638  59.52697 
 SDSS J131021.30+593222.7 197.588775  59.53967 
 SDSS J131004.36+601326.5  197.51817  60.22408 
 SDSS J131307.59+600020.8  198.28167  60.00577 
 SDSS J131333.48+594537.1  198.38949   59.7603 
 SDSS J131721.32+593212.6  199.33884  59.53685 
 SDSS J131524.48+603001.2  198.85203  60.50034 
 SDSS J131543.68+601120.5  198.93204  60.18905 
 SDSS J131908.80+593427.9 199.786695  59.57444 
 SDSS J133500.69+584305.5  203.75289  58.71822 
 SDSS J132103.02+583255.8 200.262585  58.54889 
 SDSS J132217.85+594908.1  200.57448  59.81892 
 SDSS J132307.49+590348.9 200.781225  59.06361 
 SDSS J132630.72+594313.7 201.628005  59.72049 
 SDSS J132718.56+593010.3  201.82734  59.50285 
 SDSS J133211.77+595841.3  203.04903  59.97815 
 SDSS J133556.64+591400.2  203.98599  59.23339 
 SDSS J134159.94+583257.9  205.49979  58.54943 
 SDSS J133732.12+583400.1 204.383865  58.56672 
 SDSS J133250.67+573941.6  203.21112  57.66157 
 SDSS J133252.87+573718.8 203.220315   57.6219 
 SDSS J133310.55+574841.5 203.293965  57.81154 
 SDSS J133059.32+581451.0  202.74717  58.24752 
 SDSS J133106.47+573019.3 202.776975  57.50537 
 SDSS J134236.21+592324.5 205.650915  59.39015 
 SDSS J134708.04+590421.1  206.78355  59.07256 
 SDSS J103504.89+455656.7 158.770425   45.9491 
 SDSS J103504.84+463341.2 158.770215  46.56145 
 SDSS J103323.10+460458.2  158.34633  46.08286 
 SDSS J102954.59+461224.9 157.477545  46.20694 
 SDSS J102831.88+454222.0 157.132875  45.70611 
 SDSS J102921.16+463354.2  157.33821  46.56509 
 SDSS J102845.48+462400.7 157.189515  46.40021 
 SDSS J102702.63+451311.5  156.76095  45.21989 
 SDSS J102618.25+454229.3  156.57606  45.70816 
 SDSS J102519.23+465226.6  156.33015  46.87405 
 SDSS J102535.93+470133.5  156.39972  47.02597 
 SDSS J103013.22+471325.7 157.555095  47.22385 
 SDSS J103509.29+473721.2 158.788755  47.62253 
 SDSS J104159.06+461612.8 160.496115  46.27024 
 SDSS J104254.11+470220.5 160.725495  47.03905 
 SDSS J103932.12+461205.3  159.88383  46.20149 
 SDSS J104006.73+463635.4  160.02804  46.60985 
 SDSS J103306.61+475948.9 158.277555  47.99693 
 SDSS J103952.87+480739.7 159.970305  48.12767 
 SDSS J104502.74+471759.1  161.26143  47.29978 
 SDSS J105811.02+472645.8  164.54598  47.44608 
 SDSS J105155.38+471937.5 162.980805  47.32708 
 SDSS J104809.31+481953.5  162.03879  48.33151 
 SDSS J104852.92+480314.8   162.2205  48.05411 
 SDSS J105226.09+483110.0   163.1088  48.51947 
 SDSS J105253.08+482636.4 163.221255  48.44344 
 SDSS J105514.62+490002.3 163.810935  49.00068 
 SDSS J105542.16+490451.5 163.925685  49.08097 
 SDSS J105615.16+483402.4  164.06322  48.56733 
 SDSS J105944.81+480858.0   164.9367  48.14945 
 SDSS J105726.99+474924.0   164.3625  47.82336 
 SDSS J111318.56+480417.0 168.327345   48.0714 
 SDSS J110733.99+473219.6  166.89165   47.5388 
 SDSS J111219.63+481125.6 168.081795  48.19048 
 SDSS J110455.55+472515.6  166.23147  47.42103 
 SDSS J110920.20+481500.5  167.33424  48.25017 
 SDSS J110210.87+472922.2  165.54531  47.48955 
 SDSS J105731.73+485824.6  164.38224  48.97351 
 SDSS J110514.86+493932.0 166.311915  49.65886 
 SDSS J110528.66+491340.6  166.36941  49.22794 
 SDSS J110631.31+483905.8  166.63056  48.65161 
 SDSS J110940.37+490134.9 167.418255  49.02638 
 SDSS J110858.76+483240.1  167.24484  48.54448 
 SDSS J111256.69+491508.7 168.236205  49.25243 
 SDSS J112348.41+480130.4   170.9517  48.02514 
 SDSS J111454.55+481736.1  168.72732  48.29341 
 SDSS J111200.42+493638.0 168.001725  49.61059 
 SDSS J111523.15+495640.8 168.846495  49.94469 
 SDSS J111512.70+491932.1 168.802935  49.32558 
 SDSS J111348.37+493559.4 168.451545  49.59986 
 SDSS J111901.43+490801.5  169.75599  49.13377 
 SDSS J112200.80+494535.9  170.50338  49.75998 
 SDSS J112440.98+490153.4  171.17076  49.03154 
 SDSS J113449.29+490439.4 173.705415  49.07764 
 SDSS J113038.33+481612.2  172.65972  48.27008 
 SDSS J113018.31+491115.9  172.57632  49.18776 
 SDSS J112534.96+480141.0  171.39564  48.02808 
 SDSS J112251.34+485939.2  170.71395  48.99424 
 SDSS J112213.75+493326.4  170.55732  49.55734 
 SDSS J112219.02+493906.6  170.57925  49.65183 
 SDSS J112942.35+492724.5 172.426515  49.45683 
 SDSS J113033.31+491841.0  172.63881  49.31139 
 SDSS J113626.35+501323.7 174.109815  50.22327 
 SDSS J113417.17+503004.3 173.571555  50.50122 
 SDSS J114628.51+483346.5 176.618835  48.56296 
 SDSS J113545.31+491620.1 173.938845  49.27229 
 SDSS J113517.18+491501.5 173.821605  49.25046 
 SDSS J113446.55+485721.9 173.693985  48.95612 
 SDSS J113359.22+490343.4  173.49681  49.06205 
 SDSS J113411.25+501205.8  173.54694  50.20161 
 SDSS J113634.20+501800.3 174.142515   50.3001 
 SDSS J113811.94+495527.8 174.549765   49.9244 
 SDSS J114355.27+494956.4 175.980315  49.83238 
 SDSS J115740.87+485352.7  179.42031  48.89796 
 SDSS J115859.75+494618.9  179.74899  49.77191 
 SDSS J115252.07+490705.6  178.21698  49.11824 
 SDSS J114839.09+504327.4  177.16287  50.72429 
 SDSS J115202.57+501643.6  178.01076  50.27878 
 SDSS J115328.99+504410.9 178.370775  50.73637 
 SDSS J115329.36+495253.9  178.37238  49.88167 
 SDSS J115454.73+495730.6  178.72806  49.95852 
 SDSS J115933.08+494728.6 179.887815  49.79129 
 SDSS J120358.43+500042.8  180.99348  50.01193 
 SDSS J120649.51+493735.0 181.706295   49.6264 
 SDSS J120859.32+495040.1 182.247225  49.84447 
 SDSS J120558.10+485729.9 181.492095  48.95832 
 SDSS J120459.38+494021.2  181.24743  49.67258 
 SDSS J115711.62+500006.1  179.29845  50.00172 
 SDSS J115826.43+494838.6 179.610135  49.81075 
 SDSS J120325.51+504725.8  180.85632  50.79054 
 SDSS J120226.78+503656.1  180.61164  50.61562 
 SDSS J120124.23+502932.2 180.350985  50.49223 
 SDSS J120424.85+505731.3  181.10361  50.95871 
 SDSS J120327.60+500951.9 180.865035  50.16442 
 SDSS J120428.44+501018.9  181.11849  50.17194 
 SDSS J120721.11+510115.4  181.83798  51.02097 
 SDSS J121136.40+505537.9  182.90175  50.92721 
 SDSS J121156.57+502913.7 182.985765  50.48714 
 SDSS J122040.45+484701.8 185.168565  48.78383 
 SDSS J122255.23+492642.3 185.730195   49.4451 
 SDSS J121613.10+492250.5 184.054605  49.38071 
 SDSS J121645.48+493858.4 184.189515  49.64957 
 SDSS J121151.08+484911.1 182.962815  48.81978 
 SDSS J120923.85+500938.8 182.349465  50.16077 
 SDSS J121531.11+510556.7  183.87966  51.09908 
 SDSS J121329.27+504429.3    183.372   50.7415 
 SDSS J121334.85+502606.7 183.395205  50.43519 
 SDSS J121849.88+502617.6  184.70784  50.43824 
 SDSS J121912.01+505606.5 184.800045  50.93517 
 SDSS J122121.42+501855.4  185.33928  50.31541 
 SDSS J123128.94+491536.8 187.870545  49.26026 
 SDSS J122853.28+490654.2  187.22205  49.11507 
 SDSS J122814.91+492935.8 187.062165  49.49327 
 SDSS J122752.83+494035.6  186.97014  49.67656 
 SDSS J122540.21+490437.3 186.417555  49.07704 
 SDSS J122352.73+500040.5 185.969685  50.01127 
 SDSS J122312.08+504350.5  185.80017   50.7307 
 SDSS J122532.52+500206.7 186.385515   50.0352 
 SDSS J122828.45+500241.1  187.11858  50.04476 
 SDSS J123040.30+510814.1 187.667925  51.13734 
 SDSS J123331.53+503835.7 188.381445  50.64327 
 SDSS J123319.60+500823.2  188.33169   50.1398 
 SDSS J165958.76+330642.4   254.9949  33.11179 
 SDSS J165820.11+333258.3  254.58384  33.54956 
 SDSS J165948.43+335944.9  254.95182  33.99583 
 SDSS J165710.98+333126.3 254.295795  33.52396 
 SDSS J165552.25+335101.6 253.967745  33.85046 
 SDSS J165544.55+344550.6 253.935675  34.76406 
 SDSS J165509.61+341216.8  253.79007  34.20467 
 SDSS J170451.07+342047.8 256.212795  34.34663 
 SDSS J170304.48+322847.4  255.76869  32.47985 
 SDSS J170041.69+323743.6  255.17373  32.62878 
 SDSS J170011.22+323514.7 255.046785  32.58744 
 SDSS J170114.76+315046.2 255.311505  31.84618 
 SDSS J170107.94+315253.0  255.28311  31.88141 
 SDSS J165926.55+321845.2 254.860635  32.31255 
 SDSS J165929.06+322134.2 254.871105  32.35952 
 SDSS J165832.11+332441.9  254.63382  33.41166 
 SDSS J170607.63+332858.2   256.5318  33.48284 
 SDSS J170243.27+340449.5 255.680325  34.08042 
 SDSS J170233.14+333059.9 255.638085  33.51666 
 SDSS J165944.67+341028.6 254.936115  34.17464 
 SDSS J165836.29+342938.0  254.65125  34.49389 
 SDSS J170120.34+343737.3  255.33477  34.62703 
 SDSS J170014.98+344444.0 255.062445  34.74561 
 SDSS J170450.94+344902.3 256.212285  34.81732 
 SDSS J170830.71+343710.7  257.12799  34.61963 
 SDSS J170817.43+300404.8   257.0727    30.068 
 SDSS J170401.41+305844.3 256.005855  30.97905 
 SDSS J170408.72+312902.3  256.03635  31.48396 
 SDSS J170604.81+312057.7 256.520055  31.34935 
 SDSS J171008.31+305600.7   257.5347  30.93358 
 SDSS J170917.05+313659.3  257.32104  31.61649 
 SDSS J171228.43+305434.7  258.11847  30.90966 
 SDSS J171426.53+305721.0  258.61056  30.95584 
 SDSS J171610.63+314732.2 259.044315   31.7923 
 SDSS J171321.16+314349.1  258.33819  31.73031 
 SDSS J171024.04+314818.4  257.60019  31.80513 
 SDSS J170727.44+311451.7  256.86441  31.24771 
 SDSS J170440.13+321952.5  256.16727  32.33127 
 SDSS J170910.32+331643.3 257.293065   33.2787 
 SDSS J171052.60+333214.9 257.719215  33.53748 
 SDSS J171240.36+331646.5  258.16818  33.27957 
 SDSS J171258.98+275027.2  258.24576  27.84089 
 SDSS J171544.41+292415.4 258.935085   29.4043 
 SDSS J171517.39+290924.0  258.82248  29.15666 
 SDSS J171746.13+291648.9 259.442235  29.28025 
 SDSS J171802.94+295720.6  259.51227  29.95572 
 SDSS J171725.16+294332.9  259.35486  29.72582 
 SDSS J171826.75+294023.9  259.61148  29.67332 
 SDSS J171614.86+291828.8 259.061955  29.30801 
 SDSS J171702.63+301939.7  259.26099  30.32769 
 SDSS J171235.95+291612.8 258.149835  29.27024 
 SDSS J171556.26+305928.5 258.984435  30.99125 
 SDSS J172013.86+263827.5 260.057745  26.64099 
 SDSS J172010.04+263732.0 260.041845  26.62557 
 SDSS J171930.87+263137.7  259.87863   26.5271 
 SDSS J171613.69+264531.8 259.057065  26.75884 
 SDSS J171526.24+280145.9  258.85935  28.02942 
 SDSS J171739.85+270641.4 259.416075  27.11152 
 SDSS J172052.81+272119.0  260.22003  27.35527 
 SDSS J171937.89+271923.8 259.907895  27.32329 
 SDSS J171620.63+274306.9  259.08597   27.7186 
 SDSS J171444.42+274830.1 258.685125  27.80837 
 SDSS J172107.87+294023.8 260.282805  29.67327 
 SDSS J212337.80+000900.1 320.907525   0.15004 
 SDSS J212022.80-002108.0 320.095035  -0.35224 
 SDSS J211926.65+011428.3  319.86105   1.24121 
 SDSS J212014.69+003757.6 320.061255    0.6327 
 SDSS J212318.32+011518.2   320.8266   1.25502 
 SDSS J212722.52+004257.6  321.84384   0.71603 
 SDSS J212546.35+005551.8 321.443145    0.9311 
 SDSS J213102.69-010209.5 322.761225    -1.036 
 SDSS J213059.86-000002.1  322.74945  -0.00059 
 SDSS J213023.60-000257.5 322.598355  -0.04933 
 SDSS J213025.88-002827.4  322.60782  -0.47414 
 SDSS J212939.95+000521.1  322.41651   0.08921 
 SDSS J212938.61-010046.9 322.410885  -1.01302 
 SDSS J212445.42-003107.8  321.18927  -0.51886 
 SDSS J212504.58-000132.8  321.26913  -0.02581 
 SDSS J212434.96-003205.1 321.145695  -0.53477 
 SDSS J212544.69+010046.1 321.436215   1.01283 
 SDSS J212554.07+005805.5 321.475305    0.9682 
 SDSS J213241.43+003640.1 323.172645   0.61114 
 SDSS J213840.51-010631.9  324.66882  -1.10888 
 SDSS J213524.07-005950.5 323.850315  -0.99738 
 SDSS J213525.86-005744.9 323.857785  -0.96249 
 SDSS J214528.25-005529.6 326.367735  -0.92489 
 SDSS J214336.88-011424.2  325.90368  -1.24008 
 SDSS J214040.46-010522.3 325.168635  -1.08955 
 SDSS J213945.71+002819.5 324.940425   0.47208 
 SDSS J214424.03+010803.5 326.100135   1.13432 
 SDSS J214651.32+002115.0  326.71383   0.35422 
 SDSS J092703.20+045709.8 141.763351   4.95275 
 SDSS J092229.86+044933.9 140.624436   4.82611 
 SDSS J092158.09+051646.2 140.492081   5.27951 
 SDSS J092121.87+050619.9 140.341156   5.10554 
 SDSS J092126.56+052203.9 140.360688   5.36776 
 SDSS J091944.26+043018.3 139.934463    4.5051 
 SDSS J091811.73+050058.3 139.548889   5.01621 
 SDSS J091911.94+060828.2 139.799774   6.14119 
 SDSS J091929.43+061055.3 139.872634   6.18205 
 SDSS J091838.93+052803.8 139.662246   5.46772 
 SDSS J092211.64+055032.9 140.548522   5.84247 
 SDSS J092401.90+060635.6 141.007935    6.1099 
 SDSS J092425.60+055726.4 141.106674   5.95734 
 SDSS J092405.04+052703.8 141.021042   5.45106 
 SDSS J092539.45+061636.8 141.414397    6.2769 
 SDSS J092449.04+060242.8 141.204376   6.04524 
 SDSS J092454.96+053012.8  141.22905   5.50358 
 SDSS J093456.52+050107.6  143.73552   5.01881 
 SDSS J093509.01+050356.3 143.787597   5.06567 
 SDSS J093645.11+050926.9 144.188004   5.15749 
 SDSS J093438.91+051439.5  143.66217   5.24431 
 SDSS J093042.94+043906.1 142.678924   4.65171 
 SDSS J093307.80+051438.5 143.282517   5.24404 
 SDSS J092902.55+044320.5 142.260666   4.72238 
 SDSS J092745.32+045614.7 141.938842   4.93744 
 SDSS J093450.59+061140.5 143.710815    6.1946 
 SDSS J093438.64+055029.1 143.661011   5.84143 
 SDSS J094616.92+054230.1 146.570496   5.70838 
 SDSS J094323.81+054626.1 145.849229   5.77392 
 SDSS J094204.21+054427.3 145.517594   5.74093 
 SDSS J093931.63+054851.5 144.881805   5.81431 
 SDSS J093828.31+054214.9 144.617996   5.70416 
 SDSS J093834.73+062250.9  144.64473   6.38082 
 SDSS J093930.05+062612.0 144.875214   6.43668 
 SDSS J094221.98+062335.2 145.591614   6.39346 
 SDSS J094518.40+055453.4 146.326676   5.91484 
 SDSS J094357.92+060043.9 145.991332   6.01222 
 SDSS J095259.71+053311.9 148.248825   5.55331 
 SDSS J094929.01+050245.3 147.370926   5.04593 
 SDSS J094923.47+054804.4 147.347824   5.80124 
 SDSS J094651.41+055954.4 146.714249   5.99844 
 SDSS J095239.66+061841.1 148.165282   6.31142 
 SDSS J100104.72+051606.1 150.269685   5.26839 
 SDSS J100026.02+060423.4 150.108435   6.07319 
 SDSS J095807.08+052536.1 149.529541   5.42671 
 SDSS J095618.55+054206.6 149.077347   5.70185 
 SDSS J095657.82+065735.5 149.240967   6.95987 
 SDSS J100140.59+064906.2  150.41916   6.81839 
 SDSS J100209.29+065254.4  150.53874    6.8818 
 SDSS J100322.24+062543.5 150.842715   6.42877 
 SDSS J100616.66+064610.4  151.56945   6.76955 
 SDSS J101459.00+060612.8  153.74586   6.10354 
 SDSS J101404.40+061436.4 153.518355   6.24344 
 SDSS J101031.90+051926.2 152.632965   5.32395 
 SDSS J100736.18+060208.7   151.9008   6.03577 
 SDSS J100510.94+062312.3  151.29558   6.38676 
 SDSS J100602.50+071131.8  151.51047   7.19217 
 SDSS J101205.33+072127.1  153.02223   7.35754 
 SDSS J101316.50+064519.2  153.31878   6.75535 
 SDSS J102124.19+060944.7 155.350815   6.16243 
 SDSS J101932.43+062447.1  154.88514    6.4131 
 SDSS J101427.09+060026.3 153.612885   6.00732 
 SDSS J101419.19+072210.8  153.58002   7.36969 
 SDSS J101429.89+071544.3  153.62457   7.26233 
 SDSS J101628.56+072154.5 154.119045   7.36515 
 SDSS J102827.61+055515.1 157.115085   5.92089 
 SDSS J102831.34+055951.6 157.130595   5.99767 
 SDSS J102642.47+055411.8 156.676965   5.90328 
 SDSS J102703.38+060933.9  156.76413   6.15942 
 SDSS J102449.68+053327.1 156.207015   5.55754 
 SDSS J102302.34+054836.5  155.75976   5.81017 
 SDSS J101914.83+061504.2 154.811805   6.25121 
 SDSS J102134.16+072210.8 155.392365   7.36967 
 SDSS J101819.71+070257.7 154.582215   7.04933 
 SDSS J101954.46+070507.2  154.97694   7.08534 
 SDSS J102307.93+070628.4 155.783085   7.10791 
 SDSS J102442.74+063651.8  156.17811   6.61441 
 SDSS J102500.05+073931.0 156.250245   7.65863 
 SDSS J102720.86+072300.9 156.836925   7.38361 
 SDSS J102802.82+063631.7 157.011765    6.6088 
 SDSS J103114.74+061951.5  157.81146   6.33097 
 SDSS J102743.95+062722.1 156.933165   6.45616 
 SDSS J103058.50+072717.5  157.74375   7.45489 
 SDSS J103248.46+070552.9  158.20194   7.09806 
 SDSS J103405.59+070154.4 158.523345    7.0318 
 SDSS J103704.32+073321.9  159.26805   7.55611 
 SDSS J104430.29+054442.5  161.12622   5.74516 
 SDSS J104536.29+061329.0 161.401245   6.22472 
 SDSS J104549.63+061349.1 161.456805   6.23031 
 SDSS J104350.55+064546.6  160.96068   6.76295 
 SDSS J104451.72+063548.6 161.215545   6.59685 
 SDSS J103622.92+060903.0 159.095535   6.15083 
 SDSS J103751.92+054626.0 159.466335   5.77391 
 SDSS J103628.88+072613.5  159.12039   7.43709 
 SDSS J103729.34+073447.0  159.37227   7.57974 
 SDSS J103840.36+072605.2 159.668205    7.4348 
 SDSS J103700.95+070536.0  159.25398   7.09335 
 SDSS J103845.99+065324.2 159.691665   6.89006 
 SDSS J104024.66+065137.7  160.10277   6.86048 
 SDSS J104041.82+065054.9  160.17429   6.84859 
 SDSS J104217.24+071540.3  160.57182   7.26122 
 SDSS J104109.75+064912.2  160.29066   6.82007 
 SDSS J104355.49+073215.6 160.981245   7.53769 
 SDSS J105439.55+060630.7  163.66482   6.10852 
 SDSS J105327.24+063458.6  163.36353   6.58293 
 SDSS J104832.64+064032.8 162.136065   6.67579 
 SDSS J104903.05+054838.8  162.26274   5.81078 
 SDSS J104700.24+073114.9 161.751045   7.52081 
 SDSS J104838.34+074210.7  162.15978   7.70299 
 SDSS J105051.16+075651.7  162.71316   7.94771 
 SDSS J104917.99+065637.0  162.32499   6.94361 
 SDSS J104921.22+072809.2 162.338445   7.46922 
 SDSS J105107.97+071143.2 162.783225   7.19533 
 SDSS J105325.56+072321.6 163.356525   7.38934 
 SDSS J105231.11+071329.6  163.12965   7.22491 
 SDSS J105452.10+074006.3  163.71714   7.66845 
 SDSS J110117.86+055206.6 165.324435    5.8685 
 SDSS J110001.21+055718.2  165.00507   5.95508 
 SDSS J105931.73+055422.7  164.88219   5.90633 
 SDSS J105655.23+065841.2 164.230155   6.97812 
 SDSS J105505.33+055453.6  163.77225   5.91489 
 SDSS J105821.46+075636.7 164.589435   7.94357 
 SDSS J105948.28+074429.9 164.951205   7.74165 
 SDSS J110352.07+072908.6 165.967005   7.48572 
 SDSS J110843.20+063840.8 167.180055   6.64467 
 SDSS J110551.07+062839.1  166.46283   6.47753 
 SDSS J110633.12+062517.9 166.638015   6.42163 
 SDSS J110530.86+054316.0  166.37862   5.72112 
 SDSS J110531.97+060909.5 166.383255   6.15263 
 SDSS J110635.66+064354.9 166.648635   6.73191 
 SDSS J110347.36+055047.5 165.947355   5.84653 
 SDSS J110022.83+061253.3  165.09513   6.21482 
 SDSS J110048.70+074756.7  165.20295   7.79908 
 SDSS J105836.69+072109.1   164.6529   7.35253 
 SDSS J110731.17+075927.5  166.87995   7.99098 
 SDSS J110800.98+072632.2 167.004135   7.44229 
 SDSS J111309.09+071542.4  168.28797   7.26177 
 SDSS J111106.60+060101.9 167.777505   6.01716 
 SDSS J111053.01+071402.0  167.72094   7.23389 
 SDSS J110851.03+065901.4  167.21265   6.98374 
 SDSS J110742.43+062932.6 166.926855   6.49242 
 SDSS J110710.12+063630.2 166.792185   6.60841 
 SDSS J110653.72+063206.8 166.723875   6.53524 
 SDSS J110733.31+062426.8  166.88883   6.40745 
 SDSS J110532.05+073731.0 166.383555   7.62528 
 SDSS J110933.34+074704.1  167.38896   7.78447 
 SDSS J111106.73+073459.8 167.778075   7.58329 
 SDSS J111152.25+080912.5 167.967735   8.15351 
 SDSS J111219.08+082016.4 168.079515   8.33789 
 SDSS J095356.15+474750.0 148.483964  47.79722 
 SDSS J095412.21+481524.6 148.550872  48.25686 
 SDSS J094842.03+472043.7 147.175216  47.34549 
 SDSS J095119.10+481319.4 147.829575  48.22206 
 SDSS J094930.45+481756.4 147.376908  48.29902 
 SDSS J094921.95+481244.5 147.341461  48.21235 
 SDSS J094611.33+470649.2 146.547286  47.11369 
 SDSS J094617.65+492312.2 146.573517  49.38673 
 SDSS J094226.02+490806.3 145.608414  49.13507 
 SDSS J094442.23+482916.7 146.175979  48.48797 
 SDSS J094927.18+493147.7 147.363297  49.52998 
 SDSS J100646.38+483750.4  151.69323  48.63069 
 SDSS J100515.22+485719.9 151.313445  48.95554 
 SDSS J100405.47+490804.4 151.022835  49.13459 
 SDSS J095823.24+491820.0 149.596893  49.30558 
 SDSS J095726.89+491857.2 149.362046  49.31591 
 SDSS J095820.79+493857.6 149.586654  49.64935 
 SDSS J095644.83+493047.4 149.186844  49.51319 
 SDSS J095357.15+484137.4 148.488114  48.69373 
 SDSS J100035.36+504442.0  150.14733    50.745 
 SDSS J100149.64+501557.7  150.45678  50.26603 
 SDSS J100812.22+495140.2 152.050905  49.86117 
 SDSS J100710.44+502356.4 151.793535  50.39902 
 SDSS J101658.70+493737.9  154.24458  49.62721 
 SDSS J102013.72+501719.9 155.057145   50.2889 
 SDSS J102047.20+501141.5 155.196675   50.1949 
 SDSS J101520.93+492840.9  153.83724  49.47806 
 SDSS J101436.19+494532.5 153.650805  49.75906 
 SDSS J101541.80+501029.5  153.92421  50.17487 
 SDSS J101404.46+500733.2  153.51861  50.12591 
 SDSS J101424.06+501820.0   153.6003  50.30557 
 SDSS J101058.26+500154.2 152.742765  50.03172 
 SDSS J100833.38+501614.7 152.139105  50.27075 
 SDSS J100758.30+500953.5 151.992915  50.16484 
 SDSS J100759.68+502435.8  151.99869  50.40996 
 SDSS J100433.82+501452.4 151.140945   50.2479 
 SDSS J100328.52+500909.1 150.868845  50.15255 
 SDSS J100650.04+511738.7  151.70844  51.29411 
 SDSS J100526.00+505840.6  151.35837  50.97797 
 SDSS J101037.96+511121.2  152.65815  51.18922 
 SDSS J100804.13+502642.7  152.01723  50.44522 
 SDSS J102837.36+502350.9  157.15566  50.39747 
 SDSS J102334.26+500721.1  155.89272  50.12255 
 SDSS J102559.44+502821.4 156.497715  50.47261 
 SDSS J102442.00+504543.8 156.175035  50.76218 
 SDSS J102321.62+503421.8  155.84007  50.57276 
 SDSS J102138.15+510110.2    155.409  51.01952 
 SDSS J102116.24+495040.3  155.31768  49.84458 
 SDSS J101706.66+520247.2  154.27782  52.04647 
 SDSS J101656.25+515315.7  154.23441  51.88771 
 SDSS J102223.45+520035.2 155.597685   52.0098 
 SDSS J101956.68+515548.2 154.986135  51.93006 
 SDSS J102256.86+520638.6  155.73693  52.11074 
 SDSS J102400.53+511248.1  156.00225  51.21338 
 SDSS J102332.52+522031.3  155.88561  52.34205 
 SDSS J102625.36+513020.0 156.605715  51.50556 
 SDSS J102759.46+511201.2  156.99777  51.20035 
 SDSS J102726.82+522559.1 156.861795  52.43311 
 SDSS J104119.12+520047.2 160.329675  52.01311 
 SDSS J103854.50+513937.3 159.727065  51.66039 
 SDSS J103035.15+513232.0  157.64655  51.54224 
 SDSS J102911.83+512917.9 157.299345  51.48833 
 SDSS J102657.70+513943.5 156.740445  51.66211 
 SDSS J103112.36+525344.2 157.801515  52.89565 
 SDSS J103212.35+525105.0 158.051535  52.85142 
 SDSS J103006.24+523637.4 157.526025   52.6104 
 SDSS J103015.67+523401.0 157.565295  52.56696 
 SDSS J103143.51+522535.1  157.93131  52.42644 
 SDSS J103348.02+525147.0 158.450115  52.86311 
 SDSS J103347.85+522216.5 158.449455  52.37126 
 SDSS J103602.94+525936.1 159.012285  52.99338 
 SDSS J103820.70+525917.2  159.58629  52.98814 
 SDSS J105144.38+515815.5 162.934935  51.97099 
 SDSS J105123.39+522151.8  162.84747  52.36441 
 SDSS J105224.13+524346.1 163.100535  52.72949 
 SDSS J105046.26+523527.8  162.69276  52.59108 
 SDSS J105118.44+523441.6  162.82683  52.57822 
 SDSS J104717.95+523223.2 161.824845  52.53979 
 SDSS J104610.65+522838.5 161.544405  52.47737 
 SDSS J104416.32+524055.5  161.06802  52.68209 
 SDSS J104147.62+530341.3 160.448385  53.06149 
 SDSS J104418.96+524612.4  161.07903  52.77014 
 SDSS J104544.05+525017.0  161.43357  52.83808 
 SDSS J104904.56+533856.4  162.26898  53.64902 
 SDSS J105351.64+531022.5  163.46517  53.17291 
 SDSS J105253.41+532738.1  163.22253   53.4606 
 SDSS J105526.87+531907.6  163.86195  53.31878 
 SDSS J110554.37+523321.8 166.476525  52.55606 
 SDSS J110533.50+525114.0 166.389615  52.85392 
 SDSS J110638.47+532201.5  166.66029  53.36711 
 SDSS J110309.51+522545.1  165.78963  52.42918 
 SDSS J110048.33+521756.0  165.20136   52.2989 
 SDSS J105657.13+531640.0  164.23809  53.27779 
 SDSS J110731.47+534023.0 166.881135  53.67306 
 SDSS J110817.59+534927.0  167.07333   53.8242 
 SDSS J111858.65+531427.7  169.74438  53.24106 
 SDSS J111934.00+533518.5  169.89168  53.58852 
 SDSS J111523.49+534121.9  168.84792  53.68941 
 SDSS J111253.54+534949.0  168.22308  53.83028 
 SDSS J111202.22+534154.0 168.009255  53.69833 
 SDSS J111136.36+533459.3  167.90154  53.58316 
 SDSS J110909.38+541138.1  167.28909  54.19395 
 SDSS J111037.33+541135.7 167.655555  54.19327 
 SDSS J111140.24+541139.6 167.917725  54.19434 
 SDSS J111523.87+542638.8  168.84945   54.4441 
 SDSS J112113.57+542133.1 170.306595   54.3592 
 SDSS J112718.47+530221.6  171.82698  53.03937 
 SDSS J112818.59+534135.0 172.077465  53.69307 
 SDSS J112919.34+540733.9 172.330605  54.12608 
 SDSS J112306.09+525744.4  170.77539  52.96236 
 SDSS J112126.44+534456.7 170.360205   53.7491 
 SDSS J111255.78+533749.4  168.23247   53.6304 
 SDSS J111913.75+551617.4  169.80732  55.27152 
 SDSS J111519.98+542316.7 168.833235  54.38796 
 SDSS J112118.55+551205.0 170.327325  55.20142 
